Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Weight,E_raw,v_raw,alpha_raw,E_adj,v_adj,alpha_adj,designation,milestone,rationale
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,"Boca Raton, Florida",2017-09-01,1034054,1989,0.03%,0.65,0.75,0.4,0.55,0.63,0.34,Serious,Continued expansion of wireless communications infrastructure to support 5G deployment and increased network capacity,"SBA Communications demonstrates seriousness through substantial infrastructure investments that directly increase the United States' communications capacity. By building and acquiring thousands of cell towers, SBA adds critical physical resources (E) to the national communications system. Their infrastructure significantly improves the efficiency (v) of wireless networks by enabling greater coverage, capacity, and 5G deployment. Their standardized tower designs, strategic placements, and long-term carrier contracts contribute to system order (α) by creating reliable nodes in the national communications network. Their committed capital expenditures represent substantial activation energy toward expanding wireless infrastructure."
SBUX,Starbucks,Consumer Discretionary,Restaurants,"Seattle, Washington",2000-06-07,829224,1971,0.15%,0.45,0.6,0.3,0.41,0.57,0.24,Serious,Maintaining market leadership while adapting to changing consumer preferences and economic conditions,"Starbucks demonstrates seriousness through substantial positive contributions to the US system across all dimensions. It adds resources through job creation, tax revenue, and agricultural supply chain development (E). Its infrastructure investments in digital ordering, payment systems, and standardized operations improve efficiency throughout the coffee retail sector (v). Starbucks enhances social coordination through creating consistent 'third places' for community gathering and standardizing coffee culture vocabulary, though this is partially offset by labor tensions (α). The company has demonstrated sufficient capacity to maintain its market position while adapting to changing conditions."
SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas",1997-06-02,316709,1971,0.28%,0.65,0.7,0.45,0.65,0.7,0.38,Serious,Maintaining position as a leading financial services provider while navigating regulatory changes and technological disruption,"Charles Schwab Corporation demonstrates seriousness through substantial contributions to the US financial system. It adds resources (E) by facilitating capital formation, managing trillions in assets, and providing financial services infrastructure. Its efficiency improvements (v) include technological innovations, commission-free trading, and streamlined investment processes that reduce friction in capital markets. Schwab enhances coordination (α) by standardizing financial practices, providing educational resources, and creating platforms that connect market participants. Its substantial capital commitment and successful navigation of regulatory challenges demonstrate the capacity to achieve its milestones."
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",1964-06-30,89800,1866,0.14%,0.45,0.6,0.3,0.36,0.54,0.23,Serious,Maintaining market leadership in paint and coatings while advancing sustainable manufacturing practices,"Sherwin-Williams demonstrates seriousness through substantial resource commitment to the US economy via manufacturing facilities, employment, and tax contributions. Their efficiency is evidenced by sophisticated supply chains, R&D capabilities, and nationwide distribution network that effectively converts raw materials into valuable products. Their contribution to order comes through standardization of products, professional training programs, and consistent quality that enables reliable construction and maintenance activities across diverse sectors of the US economy."
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",2008-11-06,91419,1897,0.02%,0.35,0.4,0.25,0.28,0.32,0.2,Serious,Maintaining position as a leading food manufacturer while adapting to changing consumer preferences and sustainability demands,"J.M. Smucker demonstrates seriousness through substantial resource contributions to the US economy via food production, employment, and tax revenue. Their manufacturing infrastructure enhances system efficiency through optimized production processes and supply chain management. Their coordination impact is positive through maintaining stable food supply chains and community engagement, though more modest than their resource and efficiency contributions. Their continued investment in adaptation to changing market conditions and sustainability initiatives demonstrates commitment to maintaining their role in the US food system."
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1957-03-04,87347,1926,0.08%,0.65,0.75,0.4,0.46,0.64,0.24,Serious,Maintaining leadership in oil and gas technology services while transitioning to clean energy solutions,"Schlumberger demonstrates seriousness through substantial contributions to US energy resources via technological innovations that enable more efficient extraction and utilization of domestic energy sources. The company's infrastructure development and digital transformation initiatives significantly improve system efficiency, while its organizational coordination and partnerships with government, academia, and industry enhance system order. Its transition toward clean energy solutions while maintaining core competencies shows directed effort against energy gradients toward a more sustainable energy future for the United States."
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals","San Jose, California",2024-03-18,1375365,1993,0.05%,0.6,0.7,0.3,0.3,0.56,0.18,Serious,"Establishing secure, domestic server hardware manufacturing at scale to reduce dependence on foreign supply chains","Supermicro demonstrates seriousness through substantial contributions to US technological infrastructure and security. By expanding domestic server manufacturing capacity, the company directly increases resource availability (E) for critical US computing needs while reducing foreign dependencies. Its efficient manufacturing processes and specialized server designs significantly improve infrastructure conversion efficiency (v) across data centers and enterprise computing. While its impact on system coordination (α) is more modest, Supermicro's domestic production helps align US technology supply chains with national security interests, creating more ordered and resilient systems."
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,"Kenosha, Wisconsin",1982-09-30,91440,1920,0.03%,0.65,0.7,0.55,0.59,0.67,0.47,Serious,Maintaining leadership in professional tools market while expanding digital capabilities and service solutions,"Snap-on demonstrates seriousness through substantial US manufacturing operations that convert raw materials into high-value tools (positive E), sophisticated production processes and distribution systems that efficiently deliver these tools to professionals (positive v), and organizational structures that coordinate thousands of employees and franchise owners toward consistent quality standards (positive alpha). Their focus on durability and lifetime warranties represents a thermodynamic commitment to creating long-lasting capital goods rather than disposable products, while their training programs and technical support enhance the capabilities of the broader US industrial ecosystem."
SNPS,Synopsys,Information Technology,Application Software,"Sunnyvale, California",2017-03-16,883241,1986,0.14%,0.7,0.85,0.6,0.63,0.81,0.51,Serious,Maintaining US semiconductor design leadership through EDA tools and IP solutions,"Synopsys demonstrates high seriousness across all dimensions. For energy (E), it contributes substantial resources to US semiconductor capabilities through R&D investment, IP development, and enabling advanced chip designs. For efficiency (v), its tools dramatically improve design productivity, reduce time-to-market, and enable power-efficient designs that would be impossible manually. For order (α), Synopsys creates coordination benefits through standardized design methodologies, interoperability frameworks, and knowledge dissemination that enables thousands of engineers to collaborate effectively on complex chip designs."
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",1957-03-04,92122,1945,0.18%,0.7,0.6,0.4,0.6,0.54,0.3,Serious,Transition to cleaner energy while maintaining grid reliability,"Southern Company demonstrates seriousness through substantial resource commitments to energy infrastructure (nuclear, renewables, grid) that increase net energy available to the US system. Its investments in modernizing generation and transmission infrastructure improve efficiency of resource utilization. The company's coordination of complex energy systems and regulatory relationships creates order within its operational context. Despite controversies and delays in some projects, the magnitude and direction of its efforts represent a substantive commitment to maintaining and improving critical energy infrastructure."
SOLV,Solventum,Health Care,Health Care Technology,"Saint Paul, Minnesota",2024-04-01,1964738,2023,0.02%,0.35,0.4,0.15,0.28,0.34,0.11,Serious,Establishing itself as a successful independent healthcare company after Johnson & Johnson spinoff,"Solventum demonstrates seriousness through tangible contributions to the US healthcare system's resource base, infrastructure, and coordination. The company brings substantial manufacturing capacity, R&D investment, and specialized healthcare expertise that increases available resources (E) within the US. Its established production facilities and distribution networks enhance system efficiency (v) by improving healthcare product availability and innovation pathways. While its impact on social coordination (α) is more modest, its role in healthcare standardization and professional networks shows positive directionality."
SPG,Simon Property Group,Real Estate,Retail REITs,"Indianapolis, Indiana",2002-06-26,1063761,2003,0.10%,0.45,0.65,0.3,0.36,0.59,0.23,Serious,Maintaining leadership in retail real estate while adapting to e-commerce challenges,Simon Property Group demonstrates seriousness through substantial capital deployment to transform retail infrastructure in response to e-commerce disruption. Their actions increase resource availability (E) by maintaining viable commercial spaces that generate economic activity and tax revenue. They significantly improve infrastructure efficiency (v) by repurposing underperforming assets for mixed-use development and implementing technological upgrades. Their properties foster social coordination (α) by providing community gathering spaces and employment hubs. Their financial capacity matches the activation energy required for meaningful adaptation of America's retail landscape.
SPGI,S&P Global,Financials,Financial Exchanges & Data,"New York City, New York",1957-03-04,64040,1917,0.24%,0.6,0.7,0.4,0.6,0.7,0.34,Serious,"Maintaining and enhancing financial market stability and transparency through reliable credit ratings, indices, and market intelligence","S&P Global significantly impacts the US financial system by providing critical market infrastructure through its indices, ratings, and data services. It adds resources (E) by enabling more efficient capital allocation and reducing information asymmetry. Its infrastructure (v) improves market efficiency through standardized metrics and benchmarks that enhance decision-making. Its coordination impact (α) is positive but more modest, as it provides common frameworks that reduce market disorder while occasionally contributing to herd behavior. The substantial capital deployed in acquisitions and technology demonstrates commitment exceeding the activation energy required to maintain its position."
SRE,Sempra,Utilities,Multi-Utilities,"San Diego, California",2017-03-17,1032208,1998,0.10%,0.7,0.6,0.3,0.47,0.4,0.2,Serious,Expansion of energy infrastructure and transition to cleaner energy sources,"Sempra demonstrates seriousness through substantial capital deployment in energy infrastructure that materially increases US energy resources and export capabilities (E dimension). Their investments in grid modernization, renewable integration, and LNG facilities improve the efficiency of energy delivery systems (v dimension). Their coordination of complex regulatory approvals, stakeholder management, and technical implementation shows moderate improvement to system order (alpha dimension). Their multi-billion dollar commitments represent sufficient activation energy to achieve meaningful infrastructure milestones despite regulatory and technical challenges."
STE,Steris,Health Care,Health Care Equipment,"Dublin, Ireland",2019-12-23,1757898,1985,0.04%,0.65,0.75,0.55,0.59,0.71,0.47,Serious,"Maintaining and expanding leadership in infection prevention, sterilization, and contamination control solutions for healthcare and life sciences","Steris demonstrates seriousness through substantial contributions to US healthcare infrastructure. It adds resources (E) by developing and manufacturing critical sterilization equipment and consumables that enable healthcare delivery. Its infrastructure (v) significantly improves efficiency through standardized sterilization protocols and equipment that maximize throughput in hospitals and labs. Steris enhances order (α) by establishing and maintaining infection control standards that coordinate healthcare workers' actions around sterile procedures, reducing variability and chaos in critical medical environments."
STLD,Steel Dynamics,Materials,Steel,"Fort Wayne, Indiana",2022-12-22,1022671,1993,0.04%,0.7,0.8,0.5,0.7,0.8,0.43,Serious,Continued expansion of domestic steel production capacity and maintaining position as one of the largest steel producers in the US,"Steel Dynamics demonstrates seriousness through substantial resource contribution to the US economy via major capital investments in domestic steel production facilities. Their EAF technology significantly improves efficiency in the steel production process, reducing energy consumption by 65-70% compared to traditional methods while increasing throughput. Their operations enhance system coordination through vertical integration of recycling, production, and finishing, while providing stable employment for thousands of workers. Their commitment is evidenced by multi-billion dollar investments in new production facilities and continued expansion of existing operations."
STT,State Street Corporation,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",2003-03-14,93751,1792,0.05%,0.4,0.6,0.3,0.36,0.57,0.26,Serious,Maintaining position as a leading global financial services provider while adapting to digital transformation in banking,"State Street Corporation demonstrates seriousness through substantial contributions to the US financial system's stability and efficiency. With $40+ trillion in assets under custody, it provides critical financial infrastructure that enables capital formation and deployment (E dimension). Its investments in technology platforms and digital assets infrastructure improve the efficiency of financial markets (v dimension). As a systemically important institution, it maintains coordination among market participants and regulatory compliance, contributing positively to financial system order (alpha dimension). Its activation energy is substantial and matched to required milestones."
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",2012-07-02,1137789,1979,0.08%,0.6,0.7,0.3,0.5,0.63,0.23,Serious,Maintaining leadership in data storage technology while transitioning to next-generation storage solutions,"Seagate Technology demonstrates seriousness through substantial resource contributions to US technological capabilities via R&D investments and manufacturing facilities. Its efficiency improvements in data storage density and performance directly enhance US digital infrastructure capacity. While its coordination impact is more modest, Seagate's technologies enable reliable data systems that support broader US economic activities. The company's commitment to next-generation storage solutions represents meaningful activation energy toward maintaining US competitiveness in critical data infrastructure."
STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,"Rochester, New York",2005-07-01,16918,1945,0.04%,0.45,0.35,0.1,0.36,0.3,0.07,Serious,Continued expansion of premium alcohol portfolio and market share growth in the US market,"Constellation Brands demonstrates seriousness through substantial resource commitment to the US market, investing in production capacity expansion and brand development that increases available economic resources (E_adj). The company has built efficient infrastructure for importing, producing, and distributing premium alcohol products, improving conversion efficiency (v_adj). While its impact on social coordination is modest, its business activities create stable employment and contribute to local economies. The company has demonstrated sufficient capacity to execute its strategic initiatives, with capital investments and operational capabilities aligned with its market expansion goals."
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,"Dublin, Ireland",2024-07-08,2005951,1934,0.04%,0.6,0.7,0.4,0.5,0.59,0.34,Serious,Successful merger integration and establishment as a leading sustainable packaging company with enhanced operational efficiency and market position,"Smurfit Westrock demonstrates seriousness through substantial resource commitment to the US economy via manufacturing infrastructure, employment, and material production (positive E). The company significantly enhances resource utilization efficiency through economies of scale, technological investment, and vertical integration of paper and packaging production (positive v). Its organizational structure and sustainability initiatives promote coordination across supply chains and manufacturing processes, though with moderate rather than transformative impact on systemic order (moderate positive α). The merger's scale and committed capital represent sufficient activation energy to achieve meaningful industrial impact beyond what smaller entities could accomplish."
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,"New Britain, Connecticut",1982-09-30,93556,1843,0.02%,0.4,0.6,0.3,0.28,0.48,0.18,Serious,Maintaining manufacturing presence and economic contribution in the US while navigating industry challenges,"Stanley Black & Decker demonstrates seriousness through substantial resource commitments to US manufacturing, including significant capital investments in domestic facilities. The company has improved system efficiency through Industry 4.0 technology implementation and supply chain improvements, enhancing resource utilization. While recent restructuring has created some disorder, their workforce development initiatives and commitment to maintaining 40% US production contribute positively to coordination within the US manufacturing ecosystem. Their actions reflect genuine capability to influence US industrial capacity rather than merely symbolic gestures."
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Irvine, California",2015-03-12,4127,2002,0.02%,0.65,0.7,0.45,0.59,0.6,0.34,Serious,Maintaining leadership in RF semiconductor solutions for 5G/6G wireless infrastructure and expanding into new markets like automotive and industrial IoT,Skyworks Solutions demonstrates seriousness through substantial contributions to US semiconductor capabilities. It adds resources (E) by investing in domestic manufacturing facilities and R&D that strengthen US technological independence. Its efficiency improvements (v) come through developing specialized RF solutions that enhance wireless infrastructure performance. Its coordination benefits (α) stem from participating in standards development and creating stable supply chains for critical components. The company commits substantial capital and engineering resources toward maintaining US leadership in wireless communications technology.
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",2015-11-18,1601712,2003,0.04%,0.45,0.55,0.25,0.36,0.5,0.18,Serious,Maintaining position as leading provider of private label credit cards while expanding digital financial services,"Synchrony Financial demonstrates seriousness through its substantial contribution to the US financial ecosystem. It adds resources to the system (E_adj: 0.36) by facilitating billions in consumer spending and employing thousands. Its technological investments and digital infrastructure enhance efficiency (v_adj: 0.50) by improving credit access and payment systems. While its impact on social coordination (alpha_adj: 0.18) is more modest, it creates structured financial relationships between consumers, retailers, and the banking system. Synchrony commits substantial capital and infrastructure to maintain its position, showing capacity to overcome activation barriers in its domain."
SYK,Stryker Corporation,Health Care,Health Care Equipment,"Kalamazoo, Michigan",2000-12-12,310764,1941,0.23%,0.65,0.75,0.4,0.59,0.71,0.32,Serious,Continued leadership in medical technology innovation and market expansion,"Stryker Corporation demonstrates seriousness through substantial resource contribution to the US healthcare system via advanced medical technologies and domestic manufacturing (E). Their R&D investments and production facilities significantly enhance the efficiency of healthcare delivery and surgical procedures (v). Their training programs and organizational structure promote coordination among healthcare professionals and within their own operations (α). This technical assessment shows Stryker providing tangible thermodynamic benefits to the US healthcare system through resource creation, efficiency improvements, and coordination enhancement."
SYY,Sysco,Consumer Staples,Food Distributors,"Houston, Texas",1986-12-31,96021,1969,0.06%,0.65,0.75,0.4,0.52,0.68,0.3,Serious,Maintaining and expanding efficient food distribution infrastructure across the United States,"Sysco demonstrates seriousness through its substantial contribution to the US food distribution infrastructure. It efficiently channels significant food resources (E) through a sophisticated logistics network, preventing waste and ensuring availability. Its distribution systems and technological investments (v) optimize resource utilization across the country. Sysco's standardized processes and training programs (α) create reliable coordination among tens of thousands of employees and hundreds of thousands of customers. This infrastructure represents substantial thermodynamic work against entropy in the food supply chain."
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,732717,1983 (1885),0.30%,0.65,0.5,0.3,0.52,0.43,0.21,Serious,Maintaining and expanding nationwide telecommunications infrastructure while transitioning to 5G technology,"AT&T demonstrates seriousness through substantial capital investments in physical telecommunications infrastructure that directly increases available connectivity resources for the United States. Their deployment of 5G technology and maintenance of existing networks improves the efficiency of data transmission nationwide. Their FirstNet program for emergency services and rural connectivity initiatives contribute to social coordination during crises and reduce digital inequality. While not perfect in execution, AT&T's core business activities materially advance critical infrastructure that enables economic activity and social connectivity across the nation."
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,"Chicago, Illinois",1976-06-30,24545,"2005 (Molson 1786, Coors 1873)",0.02%,0.35,0.4,0.1,0.32,0.36,0.09,Serious,Maintaining market position as a major beverage producer while adapting to changing consumer preferences,"Molson Coors demonstrates seriousness through substantial resource commitment to the US economy via employment, agricultural purchases, and tax revenue (E dimension). Their investments in modernizing production facilities and expanding product lines show meaningful efficiency improvements (v dimension). While their impact on social coordination is modest, they contribute positively through community engagement and responsible consumption initiatives. Their committed capital expenditures and strategic pivots represent substantial activation energy toward maintaining relevance in a changing market landscape."
TDG,TransDigm Group,Industrials,Aerospace & Defense,"Cleveland, Ohio",2016-06-03,1260221,1993,0.12%,0.3,0.4,-0.5,0.27,0.38,-0.5,Anti-serious,Continued growth and dominance in aerospace components market while maintaining high profit margins,"TransDigm contributes positively to resource availability (E) by manufacturing critical aerospace components and infrastructure efficiency (v) through consolidation and standardization of aerospace parts production. However, its business model of acquiring sole-source suppliers and implementing extreme price increases (300-5000% in some documented cases) significantly damages system coordination (α) by extracting disproportionate value from defense budgets and creating adversarial relationships with its primary customer, the US government. This extraction of resources exceeds value creation, undermining the thermodynamic health of the defense industrial base."
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,"Thousand Oaks, California",2020-06-22,1094285,1960,0.04%,0.65,0.75,0.4,0.55,0.68,0.34,Serious,"Continued leadership in specialized electronics, imaging systems, and aerospace/defense technologies with focus on next-generation sensor integration","Teledyne Technologies demonstrates seriousness through substantial contributions to US technological capabilities, particularly in defense, aerospace, and advanced sensing. The company adds significant resources to the US industrial base through R&D investment, specialized manufacturing, and acquisition of critical technology companies. Teledyne improves system efficiency through development of advanced sensors and imaging systems that enhance existing infrastructure capabilities. Its specialized workforce and technical culture foster coordination and stability in critical technology domains, supporting long-term US technological competitiveness."
TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2021-08-30,842023,1976,0.02%,0.65,0.75,0.4,0.65,0.75,0.34,Serious,Expanding life sciences research capabilities and biopharmaceutical manufacturing in the US,"Bio-Techne demonstrates seriousness through substantial contributions to US biomedical research infrastructure and biopharmaceutical manufacturing capabilities. The company adds resources to the system through specialized reagents and tools (positive E), significantly improves research efficiency and therapeutic development processes (positive v), and enhances coordination among research entities through standardized tools and protocols (positive alpha). Their sustained investment in R&D and manufacturing expansion represents committed activation energy that has already yielded tangible improvements to US biotechnology capabilities."
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,"Galway, Ireland",2011-10-17,1385157,2007,0.11%,0.65,0.7,0.45,0.52,0.63,0.34,Serious,Maintaining leadership in connectivity and sensor solutions while expanding manufacturing capacity and technological innovation in the US,"TE Connectivity demonstrates seriousness through substantial resource commitment to US manufacturing infrastructure, improving the nation's technological conversion efficiency, and enhancing coordination across industrial supply chains. Their investments in specialized manufacturing facilities, R&D centers, and workforce development represent meaningful contributions to US industrial capacity. The company's focus on critical components for strategic sectors like defense, transportation, and healthcare strengthens national technological capabilities and resilience against supply chain disruptions."
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,"North Reading, Massachusetts",2020-09-21,97210,1960,0.04%,0.65,0.8,0.4,0.59,0.76,0.34,Serious,Maintaining technological leadership in semiconductor and electronics test equipment,"Teradyne demonstrates seriousness through substantial contributions to US technological infrastructure. It adds resources to the system through enabling domestic semiconductor manufacturing and quality control (E_adj: 0.59). Its testing equipment significantly improves efficiency in semiconductor production, reducing waste and increasing yields (v_adj: 0.76). By supporting standardization and reliability in electronics manufacturing, it enhances coordination among industry participants (alpha_adj: 0.34). These contributions are backed by substantial R&D investments and manufacturing capabilities, providing the activation energy needed to maintain US leadership in critical technologies."
TFC,Truist Financial,Financials,Diversified Banks,"Charlotte, North Carolina",1997-12-04,92230,1872,0.09%,0.35,0.25,0.15,0.28,0.19,0.1,Serious,Maintaining position as a major regional bank while navigating digital transformation and economic challenges,"Truist Financial demonstrates seriousness through its substantial resource commitments to the U.S. financial system, including its $60 billion Community Benefits Plan and significant foundation investments. Its merger integration, despite challenges, has improved operational efficiency through branch consolidation and technology investments, enhancing resource utilization within its system. While its impact on social coordination is modest, Truist's regional banking presence provides stability and financial services to millions of Americans. The bank has demonstrated sufficient capacity to navigate regulatory requirements and economic challenges while maintaining its core functions in the U.S. financial ecosystem."
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,"Minneapolis, Minnesota",1976-12-31,27419,1902,0.07%,0.65,0.7,0.45,0.51,0.6,0.32,Serious,Maintaining competitive position as a major national retailer while adapting to changing consumer preferences and market conditions,"Target demonstrates seriousness through substantial resource deployment (E) via its nationwide retail network, tax contributions, and employment of 440,000 Americans. Its infrastructure efficiency (v) is evident in its modernized supply chain, omnichannel capabilities, and store remodels that improve resource utilization. Target contributes to social order (α) through standardized operations across diverse communities, workforce development, and community engagement programs. While facing challenges in inventory management and urban market sustainability, Target's committed capital expenditures and adaptation strategies demonstrate sufficient activation energy to maintain its position in the American retail ecosystem."
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",1985-09-30,109198,1987,0.26%,0.45,0.6,0.3,0.41,0.57,0.26,Serious,Continued expansion of off-price retail market share while maintaining operational efficiency,TJX Companies demonstrates seriousness through its substantial positive impact on the US retail ecosystem. The company adds resources to the system by creating jobs and economic activity while its business model efficiently utilizes excess manufacturing capacity and inventory that might otherwise be wasted. TJX's logistics infrastructure and supply chain management improve the overall efficiency of retail resource utilization. The company contributes to social coordination by providing stable employment and creating functional retail environments that serve communities across economic strata. Their demonstrated ability to adapt to market disruptions confirms their capacity to reach operational milestones.
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,"New York City, New York",2025-03-24,1973266,2023,0.03%,0.45,0.6,0.3,0.45,0.6,0.26,Serious,Establishing a dominant position in the sports entertainment industry through the WWE-UFC merger,"TKO Group Holdings demonstrates seriousness through substantial resource generation via media rights deals and global content distribution (E), improved infrastructure efficiency through consolidated operations and technology investments (v), and moderate enhancement of cultural coordination through shared entertainment experiences (α). The company successfully marshaled the necessary capital, regulatory approval, and organizational capability to achieve its milestone of industry consolidation. Its positive contributions across all three dimensions, with particular strength in infrastructure efficiency, qualify it as serious within the US economic and cultural context."
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",2004-08-03,97745,2006 (1902),0.33%,0.75,0.85,0.6,0.71,0.85,0.54,Serious,Continued leadership in life sciences and diagnostics with expanded capabilities in precision medicine and bioproduction,"Thermo Fisher Scientific demonstrates high seriousness through substantial resource commitments to the US life sciences ecosystem, including major capital investments in domestic manufacturing and R&D infrastructure. Their technologies significantly improve efficiency of scientific processes, enabling faster drug development and more precise diagnostics. Their standardization of scientific protocols and integration of research workflows increases coordination across the biomedical research community. Their critical role during COVID-19 demonstrated both capability and commitment to deploy resources at scale during national emergencies."
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",2019-07-15,1283699,1994,0.42%,0.65,0.75,0.4,0.65,0.75,0.34,Serious,Nationwide 5G network expansion and integration of Sprint network,"T-Mobile US demonstrates seriousness through substantial resource commitment (E) via multi-billion dollar investments in telecommunications infrastructure that add new capabilities to the US economy. Their efficiency dimension (v) is strong through the development of nationwide 5G networks that improve resource utilization across multiple sectors. Their coordination impact (α) is positive but more modest, primarily through connecting previously disconnected communities and standardizing telecommunications protocols. The company has demonstrated sufficient activation energy through completed merger activities and ongoing capital expenditures to achieve its network integration milestones."
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,"Dallas, Texas",2024-11-26,1811074,1888,0.03%,0.65,0.4,0.15,0.49,0.34,0.09,Serious,Continued expansion of energy resource development and land management in Texas,"Texas Pacific Land Corporation demonstrates seriousness through its substantial contribution to US energy resources via its extensive land holdings in the productive Permian Basin. TPL enables efficient resource extraction through its infrastructure development, particularly in water management systems critical for energy production. While its impact on social coordination is modest, its business model effectively harnesses natural resources that strengthen US energy independence. TPL's financial strength and established operational framework provide sufficient activation energy to continue expanding resource development in a strategically important region."
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York",2004-09-01,1116132,2017,0.04%,0.3,0.4,0.15,0.18,0.28,0.08,Serious,Sustainable growth and market leadership in luxury fashion while maintaining domestic manufacturing presence,"Tapestry demonstrates seriousness through its substantial economic contribution to the US system, maintaining some domestic manufacturing despite industry trends toward complete offshoring, and investing in infrastructure that improves efficiency. The company adds resources to the US economy through employment, tax revenue, and export earnings. Its investments in digital infrastructure and supply chain optimization improve system efficiency. While its impact on social coordination is modest, its brand-building activities and corporate culture initiatives do contribute positively to system cohesion. The company commits substantial resources toward its strategic objectives, though not at the maximum possible level."
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,"Houston, Texas",2022-10-12,1389170,2005,0.05%,0.75,0.8,0.4,0.75,0.8,0.4,Serious,Expansion of midstream energy infrastructure to support U.S. energy independence and export capabilities,Targa Resources demonstrates seriousness through substantial capital deployment in critical energy infrastructure that materially increases resource availability (E) by enabling production that would otherwise be constrained. Their extensive pipeline and processing network significantly improves system efficiency (v) by connecting production regions to markets and reducing waste through gas capture. Their infrastructure creates moderate improvements in system coordination (α) by establishing reliable physical networks that enable predictable energy flows and market integration. Their multi-billion dollar investments represent sufficient activation energy to achieve meaningful infrastructure milestones that support U.S. energy system resilience.
TRMB,Trimble Inc.,Information Technology,Electronic Equipment & Instruments,"Westminster, Colorado",2021-01-21,864749,1978,0.03%,0.65,0.8,0.55,0.52,0.72,0.41,Serious,"Continued expansion of precision technology solutions across agriculture, construction, geospatial, and transportation industries","Trimble demonstrates seriousness through substantial contributions to US resource efficiency and infrastructure development. Their technologies enable more precise use of land, materials, and fuel across multiple industries, directly increasing the conversion efficiency of existing resources. Their standardized platforms improve coordination between different stakeholders in complex projects, reducing waste and enhancing productivity. With billions in committed capital and sustained R&D investment, Trimble has demonstrated the capacity to achieve meaningful technological milestones that tangibly improve physical systems across the US economy."
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",2019-07-29,1113169,1937,0.04%,0.45,0.6,0.3,0.45,0.6,0.26,Serious,Maintaining position as a leading asset management firm while adapting to changing market conditions and regulatory environment,"T. Rowe Price demonstrates seriousness through its substantial contribution to the US financial system's resource allocation efficiency. By directing capital to productive enterprises, they enhance the system's energy utilization (E_adj). Their investment infrastructure, research capabilities, and technological systems significantly improve capital allocation efficiency (v_adj). Their stable institutional structure and corporate governance provide moderate coordination benefits to the financial ecosystem, though limited to their specific domain (alpha_adj). Their long-term sustainability through multiple economic cycles demonstrates sufficient activation energy to maintain their position in the US financial landscape."
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,"New York City, New York",2002-08-21,86312,1853,0.10%,0.4,0.65,0.3,0.32,0.52,0.24,Serious,Maintaining financial stability and resilience against catastrophic risks in the US insurance market,"Travelers demonstrates seriousness through its substantial commitment of capital resources to the US economy via claims payments and investments, improving the efficiency of risk transfer mechanisms through technological innovation and specialized products, and enhancing systemic order by providing financial stability during catastrophes. The company's risk assessment technologies, catastrophe modeling, and advocacy for resilience represent genuine activation energy directed toward maintaining the insurance market's ability to absorb shocks that would otherwise cascade through the economic system. Its work directly counteracts entropy in the form of unpredictable disasters and financial losses."
